Ár;Mánuður;Heiti;Bankar, sparisjóðir og lánafyrirtæki;Verðbréfa- og fjárfestingarsjóðir;Lífeyrissjóðir;Fyrirtæki;Tryggingafélög;Einstaklingar;Aðrir;Erlendir aðilar
2026;jan;RIKB 26 1015;46201;15238;4433;4717;1781;853;2;17110
2026;jan;RIKB 27 0415;60126;23444;16663;11020;3899;1739;52;13045
2026;jan;RIKB 28 1115;32955;27560;35680;9585;9432;2662;8351;3443
2026;jan;RIKB 31 0124;3569;19829;64279;5418;8871;2460;6450;13756
2026;jan;RIKB 32 1015;0;2790;63727;;883;;;
2026;jan;RIKB 35 0917;1773;21345;35162;1575;10515;558;766;23432
2026;jan;RIKB 38 0215;949;11680;20227;1426;8234;435;483;18854
2026;jan;RIKB 42 0217;603;9740;32827;969;9240;94;964;21816
2026;jan;RIKS 26 0216;15122;5359;9039;7596;4465;3456;166;181
2026;jan;RIKS 29 0917;1719;12547;72253;2350;6225;906;361;3
2026;jan;RIKS 30 0701;1668;9760;56612;1116;7518;1535;678;21
2026;jan;RIKS 33 0321;2774;9251;58805;1017;3469;2029;2328;71
2026;jan;RIKS 34 1016;73;749;58009;776;1054;526;15;571
2026;jan;RIKS 36 0815;;300;58700;;;;;
2026;jan;RIKS 37 0115;2050;6865;62252;502;1859;195;164;105
2026;jan;RIKS 39 1115;;720;48180;;100;;;
2026;jan;RIKS 41 0815;;570;49430;;;;;
2026;jan;RIKS 44 1017;157;886;45291;1365;644;1256;386;328
2026;jan;RIKS 47 1115;;600;47400;;;;;
2026;jan;RIKS 50 0915;498;1257;37565;50;575;;100;
2026;jan;Víxlar alls;60240;48170;660;12830;800;;732;468
2025;des;RIKB 26 1015;47977;14205;4633;6372;1889;922;2;15635
2025;des;RIKB 27 0415;62589;23223;16163;12691;3621;1714;52;9384
2025;des;RIKB 28 1115;27586;24075;34865;9440;9653;2674;8471;7324
2025;des;RIKB 31 0124;1841;18201;64486;6118;9187;2365;6550;17241
2025;des;RIKB 32 1015;0;3440;63277;;683;;;
2025;des;RIKB 35 0917;1960;20922;34902;1673;10255;558;866;23062
2025;des;RIKB 38 0215;735;10140;18726;1331;8154;439;483;11284
2025;des;RIKB 42 0217;482;8441;32527;1056;9180;94;824;21816
2025;des;RIKS 26 0216;18033;7095;9555;7959;4617;3682;261;181
2025;des;RIKS 29 0917;529;12332;72246;1804;5475;640;240;3
2025;des;RIKS 30 0701;1253;9700;57092;1116;7486;1527;678;21
2025;des;RIKS 33 0321;1943;9631;58985;1067;3577;2040;2328;71
2025;des;RIKS 34 1016;73;549;58209;776;1054;526;15;571
2025;des;RIKS 36 0815;;500;58500;;;;;
2025;des;RIKS 37 0115;790;4735;62552;502;1801;195;164;105
2025;des;RIKS 39 1115;;820;48080;;100;;;
2025;des;RIKS 41 0815;;770;49230;;;;;
2025;des;RIKS 44 1017;149;886;45239;1415;644;1258;386;336
2025;des;RIKS 47 1115;;700;47300;;;;;
2025;des;RIKS 50 0915;448;1652;37265;50;330;;;
2025;des;Víxlar alls;65910;37380;210;4350;1100;;732;468
2025;nóv;RIKB 26 1015;45698;16564;4633;5372;2089;937;2;15041
2025;nóv;RIKB 27 0415;60008;22805;16130;14843;4454;1739;112;9347
2025;nóv;RIKB 28 1115;29043;23572;37865;9491;9533;2688;8491;3354
2025;nóv;RIKB 31 0124;2553;18422;64450;6245;9787;2352;6550;17004
2025;nóv;RIKB 32 1015;650;2890;63477;;583;312;;
2025;nóv;RIKB 35 0917;2615;22489;33635;1674;10241;558;866;22062
2025;nóv;RIKB 38 0215;2128;9556;18006;1331;7862;440;295;11284
2025;nóv;RIKB 42 0217;1232;9453;31287;1010;9558;94;646;21816
2025;nóv;RIKS 26 0216;18857;5791;11803;8245;5658;3816;261;181
2025;nóv;RIKS 29 0917;1330;12434;70173;1690;3340;630;170;
2025;nóv;RIKS 30 0701;1599;10443;56623;1217;7427;1525;678;21
2025;nóv;RIKS 33 0321;2375;9349;58868;1007;3757;2049;2328;71
2025;nóv;RIKS 34 1016;72;445;58429;776;934;531;15;571
2025;nóv;RIKS 36 0815;0;200;58800;;;117;;
2025;nóv;RIKS 37 0115;1000;5303;62452;502;1831;195;164;105
