date,gengi
2000-01-04,106.2966
2000-01-05,106.8379
2000-01-06,106.6627
2000-01-07,106.9077
2000-01-10,106.7725
2000-01-11,106.8205
2000-01-12,105.8449
2000-01-13,106.0773
2000-01-14,105.8835
2000-01-17,105.8509
2000-01-18,106.0966
2000-01-19,106.2408
2000-01-20,106.1424
2000-01-21,105.9673
2000-01-24,105.9396
2000-01-25,106.2587
2000-01-26,106.0074
2000-01-27,105.5436
2000-01-28,105.7789
2000-01-31,105.6214
2000-02-01,105.5329
2000-02-02,105.5454
2000-02-03,106.2002
2000-02-04,105.5119
2000-02-07,105.5809
2000-02-08,105.6143
2000-02-09,105.958
2000-02-10,105.7458
2000-02-11,105.5932
2000-02-14,104.7837
2000-02-15,104.1222
2000-02-16,104.1907
2000-02-17,104.3035
2000-02-18,103.8364
2000-02-21,104.0064
2000-02-22,104.4248
2000-02-23,104.1268
2000-02-24,103.9954
2000-02-25,103.8923
2000-02-28,104.1346
2000-02-29,103.9024
2000-03-01,103.7501
2000-03-02,104.089
2000-03-03,103.8088
2000-03-06,103.974
2000-03-07,104.2808
2000-03-08,104.5183
2000-03-09,104.5326
2000-03-10,104.1609
2000-03-13,104.3339
2000-03-14,104.4091
2000-03-15,104.4475
2000-03-16,104.2867
2000-03-17,104.2966
2000-03-20,104.2771
2000-03-21,104.2396
2000-03-22,104.2812
2000-03-23,104.768
2000-03-24,104.2282
2000-03-27,104.352
2000-03-28,104.4855
2000-03-29,104.5842
2000-03-30,104.018
2000-03-31,104.218
2000-04-03,104.0683
2000-04-04,103.9081
2000-04-05,103.8927
2000-04-06,103.8306
2000-04-07,103.7367
2000-04-10,103.9251
2000-04-11,104.0797
2000-04-12,103.8943
2000-04-13,103.7662
2000-04-14,103.8152
2000-04-17,103.5685
2000-04-18,103.5225
2000-04-19,103.4125
2000-04-25,102.9591
2000-04-26,103.3982
2000-04-27,103.0099
2000-04-28,103.2637
2000-05-02,103.3716
2000-05-03,102.9299
2000-05-04,102.9698
2000-05-05,103.0508
2000-05-08,103.5686
2000-05-09,103.9895
2000-05-10,103.7878
2000-05-11,103.1875
2000-05-12,103.5357
2000-05-15,103.3806
2000-05-16,103.1571
2000-05-17,103.3745
2000-05-18,103.3474
2000-05-19,103.4406
2000-05-22,103.4422
2000-05-23,103.4003
2000-05-24,103.5022
2000-05-25,103.5779
2000-05-26,103.7831
2000-05-29,103.8639
2000-05-30,103.9594
2000-05-31,103.9
2000-06-02,104.1764
2000-06-05,104.171
2000-06-06,105.3693
2000-06-07,105.4332
2000-06-08,104.9063
2000-06-09,104.7141
2000-06-13,105.6116
2000-06-14,106.1723
2000-06-15,106.9197
2000-06-16,106.6184
2000-06-19,106.2517
2000-06-20,106.3867
2000-06-21,106.2077
2000-06-22,106.8483
2000-06-23,107.712
2000-06-26,106.5964
2000-06-27,106.8641
2000-06-28,107.0842
2000-06-29,107.1145
2000-06-30,107.057
2000-07-03,107.0084
2000-07-04,107.1415
2000-07-05,107.1342
2000-07-06,107.1418
2000-07-07,107.1355
2000-07-10,107.1122
2000-07-11,107.1195
2000-07-12,107.1981
2000-07-13,109.5221
2000-07-14,110.9185
2000-07-17,109.8017
2000-07-18,109.1405
2000-07-19,108.6398
2000-07-20,108.4039
2000-07-21,108.5302
2000-07-24,108.4574
2000-07-25,108.2868
2000-07-26,108.5119
2000-07-27,107.8344
2000-07-28,107.2635
2000-07-31,107.4532
2000-08-01,107.1795
2000-08-02,106.9478
2000-08-03,107.8795
2000-08-04,109.0692
2000-08-08,108.0769
2000-08-09,108.1992
2000-08-10,108.2122
2000-08-11,107.6847
2000-08-14,108.1419
2000-08-15,108.0452
2000-08-16,108.2372
2000-08-17,108.2908
2000-08-18,108.1185
2000-08-21,108.3933
2000-08-22,107.8298
2000-08-23,107.7988
2000-08-24,108.3299
2000-08-25,107.9522
2000-08-28,107.9799
2000-08-29,107.9443
2000-08-30,107.8771
2000-08-31,107.8065
2000-09-01,108.3334
2000-09-04,108.1863
2000-09-05,108.1181
2000-09-06,108.177
2000-09-07,108.7786
2000-09-08,108.4651
2000-09-11,108.5974
2000-09-12,108.8438
2000-09-13,108.5447
2000-09-14,108.5434
2000-09-15,108.8047
2000-09-18,109.153
2000-09-19,109.5956
2000-09-20,109.4413
2000-09-21,109.6164
2000-09-22,110.6517
2000-09-25,109.9063
2000-09-26,110.1012
2000-09-27,109.5768
2000-09-28,110.0326
2000-09-29,109.8878
2000-10-02,109.6441
2000-10-03,109.9069
2000-10-04,109.9449
2000-10-05,109.8812
2000-10-06,109.8265
2000-10-09,110.0847
2000-10-10,109.772
2000-10-11,110.1595
2000-10-12,110.3351
2000-10-13,110.0945
2000-10-16,109.885
2000-10-17,110.1757
