bond,price,yield,indexation,date
RIKB 26 1015,99.59,7.26,non-index,NA
RIKB 27 0415,100.99,7.109999999999999,non-index,NA
RIKB 28 1115,95.22,6.89,non-index,NA
RIKB 31 0124,99.1,6.71,non-index,NA
RIKB 35 0917,103.23,6.53,non-index,NA
RIKB 38 0215,99.85,6.52,non-index,NA
RIKB 42 0217,80.55,6.48,non-index,NA
RIKS 26 0216,99.78,3.52,indexed,NA
RIKS 29 0917,102.19,2.86,indexed,NA
RIKS 30 0701,101.7,2.84,indexed,NA
RIKS 33 0321,101.59,2.75,indexed,NA
RIKS 37 0115,84,2.7,indexed,NA
RIKS 50 0915,115.25,2.65,indexed,NA
RIKB 26 1015,99.59,7.26,non-index,2026-01-05
RIKB 27 0415,100.99,7.109999999999999,non-index,2026-01-05
RIKB 28 1115,95.22,6.89,non-index,2026-01-05
RIKB 31 0124,99.1,6.71,non-index,2026-01-05
RIKB 35 0917,103.23,6.53,non-index,2026-01-05
RIKB 38 0215,99.85,6.52,non-index,2026-01-05
RIKB 42 0217,80.55,6.48,non-index,2026-01-05
RIKS 26 0216,99.79,3.48,indexed,2026-01-05
RIKS 29 0917,102.44,2.79,indexed,2026-01-05
RIKS 30 0701,101.95,2.78,indexed,2026-01-05
RIKS 33 0321,102,2.69,indexed,2026-01-05
RIKS 37 0115,84.33,2.66,indexed,2026-01-05
RIKS 50 0915,115.3,2.65,indexed,2026-01-05
RIKB 26 1015,99.66,7.17,non-index,2026-01-08
RIKB 27 0415,101,7.09,non-index,2026-01-08
RIKB 28 1115,95.2,6.91,non-index,2026-01-08
RIKB 31 0124,99,6.74,non-index,2026-01-08
RIKB 35 0917,102.95,6.57,non-index,2026-01-08
RIKB 38 0215,99.6,6.55,non-index,2026-01-08
RIKB 42 0217,80.45,6.49,non-index,2026-01-08
RIKS 26 0216,99.85,3.07,indexed,2026-01-08
RIKS 29 0917,102.45,2.79,indexed,2026-01-08
RIKS 30 0701,102,2.77,indexed,2026-01-08
RIKS 33 0321,102.15,2.67,indexed,2026-01-08
RIKS 37 0115,84.64999999999999,2.62,indexed,2026-01-08
RIKS 50 0915,115.9,2.62,indexed,2026-01-08
RIKB 26 1015,99.56,7.4,non-index,2026-02-26
RIKB 27 0415,100.85,7.159999999999999,non-index,2026-02-26
RIKB 28 1115,95.08,7.04,non-index,2026-02-26
RIKB 31 0124,98.6,6.84,non-index,2026-02-26
RIKB 35 0917,102.2,6.67,non-index,2026-02-26
RIKB 38 0215,98.6,6.67,non-index,2026-02-26
RIKB 42 0217,79.88,6.57,non-index,2026-02-26
RIKS 29 0917,103.36,2.49,indexed,2026-02-26
RIKS 30 0701,102.89,2.53,indexed,2026-02-26
RIKS 33 0321,102.6,2.59,indexed,2026-02-26
RIKS 37 0115,85.79,2.51,indexed,2026-02-26
RIKS 50 0915,116.91,2.56,indexed,2026-02-26
